"Source Function / Function / Call Stack","CPU Time","Module","Function (Full)","Source File","Start Address"
"classw","1244.42","[Unknown]","classw","CLASSW.f","0"
"runclass36_within_tile","1183.15","[Unknown]","runclass36_within_tile","RUNCLASS36_module.f90","0"
"grdran","990.855","[Unknown]","grdran","GRDRAN.f","0"
"wflow","956.044","[Unknown]","wflow","WFLOW.f","0"
"tmcalc","890.895","[Unknown]","tmcalc","TMCALC.f","0"
"aprep","817.789","[Unknown]","aprep","APREP.f","0"
"tsolvc","704.973","[Unknown]","tsolvc","TSOLVC.f","0"
"flxsurfz","692.902","[Unknown]","flxsurfz","FLXSURFZ.f","0"
"classt","685.212","[Unknown]","classt","CLASST.f","0"
"__libm_powf_l9","671.511","[Unknown]","__libm_powf_l9","[Unknown]","0"
"watrof","664.725","[Unknown]","watrof","WATROF.f","0"
"icebal","604.603","[Unknown]","icebal","ICEBAL.f","0"
"wend","599.464","[Unknown]","wend","WEND.f","0"
"grinfl","580.601","[Unknown]","grinfl","GRINFL.f","0"
"watdrn","557.712","[Unknown]","watdrn","WATDRN.f","0"
"wprep","537.058","[Unknown]","wprep","WPREP.f","0"
"twcalc","492.212","[Unknown]","twcalc","TWCALC.f","0"
"__libm_logf_l9","436.253","[Unknown]","__libm_logf_l9","[Unknown]","0"
"tprep","430.393","[Unknown]","tprep","TPREP.f","0"
"run_within_grid_stas_update","385.377","[Unknown]","run_within_grid_stas_update","sa_mesh_run_within_grid.f90","0"
"__libm_expf_l9","315.776","[Unknown]","__libm_expf_l9","[Unknown]","0"
"wfill","283.344","[Unknown]","wfill","WFILL.f","0"
"canvap","263.4","[Unknown]","canvap","CANVAP.f","0"
"route","196.976","[Unknown]","route","route.f","0"
"psi","191.257","[Unknown]","psi","FLXSURFZ.f","0"
"canalb","172.611","[Unknown]","canalb","CANALB.f","0"
"chkwat","170.754","[Unknown]","chkwat","CHKWAT.f","0"
"tsolve","149.432","[Unknown]","tsolve","TSOLVE.f","0"
"tnprep","120.929","[Unknown]","tnprep","TNPREP.f","0"
"diasurfz","111.49","[Unknown]","diasurfz","DIASURFZ.f","0"
"run_within_grid_stas_basin_update","110.649","[Unknown]","run_within_grid_stas_basin_update","sa_mesh_run_between_grid.f90","0"
"classz","100.523","[Unknown]","classz","CLASSZ.f","0"
"climate_module_update_data","87.4667","[Unknown]","climate_module_update_data","climate_forcing_module.f90","0"
"tnpost","81.577","[Unknown]","tnpost","TNPOST.f","0"
"fmi","80.9578","[Unknown]","fmi","FLXSURFZ.f","0"
"__libm_asinf_l9","79.8747","[Unknown]","__libm_asinf_l9","[Unknown]","0"
"output_variables_group_update_ts","78.6495","[Unknown]","output_variables_group_update_ts","output_variables.f90","0"
"psi","73.0521","[Unknown]","psi","DIASURFZ.f","0"
"exav","67.8511","[Unknown]","exav","WATROF.f","0"
"canadd","64.0671","[Unknown]","canadd","CANADD.f","0"
"run_within_tile_stas_reset","60.5378","[Unknown]","run_within_tile_stas_reset","sa_mesh_run_within_tile.f90","0"
"fhi","56.0377","[Unknown]","fhi","FLXSURFZ.f","0"
"output_variables_field_update","52.2621","[Unknown]","output_variables_field_update","output_variables.f90","0"
"cwcalc","44.2964","[Unknown]","cwcalc","CWCALC.f","0"
"snoadd","41.298","[Unknown]","snoadd","SNOADD.f","0"
"classa","40.9085","[Unknown]","classa","CLASSA.f","0"
"tfreez","32.2746","[Unknown]","tfreez","TFREEZ.f","0"
"tspost","31.5421","[Unknown]","tspost","TSPOST.f","0"
"__libm_cbrtf_l9","31.246","[Unknown]","__libm_cbrtf_l9","[Unknown]","0"
"subcan","29.2858","[Unknown]","subcan","SUBCAN.f","0"
"snovap","29.078","[Unknown]","snovap","SNOVAP.f","0"
"__libm_sinf_l9","28.8984","[Unknown]","__libm_sinf_l9","[Unknown]","0"
"snoalbw","28.6856","[Unknown]","snoalbw","SNOALBW.f","0"
"fmi","24.0899","[Unknown]","fmi","DIASURFZ.f","0"
"run_rte_between_grid","21.7413","[Unknown]","run_rte_between_grid","rte_module.f90","0"
"__libm_atanf_l9","21.6486","[Unknown]","__libm_atanf_l9","[Unknown]","0"
