"Source Function / Function / Call Stack","CPU Time","Module","Function (Full)","Source File","Start Address"
"classw","1396.49","[Unknown]","classw","CLASSW.f","0"
"grdran","1083.77","[Unknown]","grdran","GRDRAN.f","0"
"runclass36_within_tile","1045.14","[Unknown]","runclass36_within_tile","RUNCLASS36_module.f90","0"
"copy_field_scalar_to_scalar","1040.28","[Unknown]","copy_field_scalar_to_scalar","field_utilities.f90","0"
"wflow","955.822","[Unknown]","wflow","WFLOW.f","0"
"tmcalc","886.655","[Unknown]","tmcalc","TMCALC.f","0"
"__libm_powf_l9","791.024","[Unknown]","__libm_powf_l9","[Unknown]","0"
"aprep","773.889","[Unknown]","aprep","APREP.f","0"
"flxsurfz","676.447","[Unknown]","flxsurfz","FLXSURFZ.f","0"
"watrof","663.026","[Unknown]","watrof","WATROF.f","0"
"tsolvc","658.972","[Unknown]","tsolvc","TSOLVC.f","0"
"classt","615.638","[Unknown]","classt","CLASST.f","0"
"icebal","604.388","[Unknown]","icebal","ICEBAL.f","0"
"wend","596.693","[Unknown]","wend","WEND.f","0"
"map_field_2d","576.467","[Unknown]","map_field_2d","field_utilities.f90","0"
"grinfl","570.573","[Unknown]","grinfl","GRINFL.f","0"
"watdrn","562.295","[Unknown]","watdrn","WATDRN.f","0"
"wprep","546.087","[Unknown]","wprep","WPREP.f","0"
"run_within_grid_stas_update","540.959","[Unknown]","run_within_grid_stas_update","sa_mesh_run_within_grid.f90","0"
"func@0x151900","531.839","[Unknown]","func@0x151900","[Unknown]","0"
"twcalc","501.492","[Unknown]","twcalc","TWCALC.f","0"
"__libm_logf_l9","422.369","[Unknown]","__libm_logf_l9","[Unknown]","0"
"tprep","363.423","[Unknown]","tprep","TPREP.f","0"
"__libm_expf_l9","300.74","[Unknown]","__libm_expf_l9","[Unknown]","0"
"wfill","284.053","[Unknown]","wfill","WFILL.f","0"
"canvap","268.469","[Unknown]","canvap","CANVAP.f","0"
"map_field_to_ranked_output","193.304","[Unknown]","map_field_to_ranked_output","mesh_io.F90","0"
"route","191.725","[Unknown]","route","route.f","0"
"psi","181.361","[Unknown]","psi","FLXSURFZ.f","0"
"chkwat","170.069","[Unknown]","chkwat","CHKWAT.f","0"
"canalb","157.767","[Unknown]","canalb","CANALB.f","0"
"tsolve","144.352","[Unknown]","tsolve","TSOLVE.f","0"
"run_within_grid_stas_basin_update","140.151","[Unknown]","run_within_grid_stas_basin_update","sa_mesh_run_between_grid.f90","0"
"tnprep","117.104","[Unknown]","tnprep","TNPREP.f","0"
"diasurfz","108.511","[Unknown]","diasurfz","DIASURFZ.f","0"
"classz","94.1282","[Unknown]","classz","CLASSZ.f","0"
"tnpost","77.0001","[Unknown]","tnpost","TNPOST.f","0"
"__libm_asinf_l9","75.0558","[Unknown]","__libm_asinf_l9","[Unknown]","0"
"fmi","74.6274","[Unknown]","fmi","FLXSURFZ.f","0"
"psi","73.0021","[Unknown]","psi","DIASURFZ.f","0"
"exav","69.684","[Unknown]","exav","WATROF.f","0"
"output_variables_group_update_ts","67.1172","[Unknown]","output_variables_group_update_ts","output_variables.f90","0"
"canadd","66.6155","[Unknown]","canadd","CANADD.f","0"
"output_variables_field_update","52.0657","[Unknown]","output_variables_field_update","output_variables.f90","0"
"fhi","50.852","[Unknown]","fhi","FLXSURFZ.f","0"
"run_within_tile_stas_update","47.3644","[Unknown]","run_within_tile_stas_update","sa_mesh_run_within_tile.f90","0"
"cwcalc","43.6101","[Unknown]","cwcalc","CWCALC.f","0"
"snoadd","40.6289","[Unknown]","snoadd","SNOADD.f","0"
"run_within_tile_stas_reset","35.2366","[Unknown]","run_within_tile_stas_reset","sa_mesh_run_within_tile.f90","0"
"classa","32.6617","[Unknown]","classa","CLASSA.f","0"
"snoalbw","32.0203","[Unknown]","snoalbw","SNOALBW.f","0"
"tfreez","31.4312","[Unknown]","tfreez","TFREEZ.f","0"
"snovap","30.2454","[Unknown]","snovap","SNOVAP.f","0"
"subcan","28.8881","[Unknown]","subcan","SUBCAN.f","0"
"tspost","28.2636","[Unknown]","tspost","TSPOST.f","0"
"func@0x40c720","28.0808","[Unknown]","func@0x40c720","[Unknown]","0"
"read_frame_from_file","26.1351","[Unknown]","read_frame_from_file","mesh_io.F90","0"
"powf","25.0203","[Unknown]","powf","[Unknown]","0"
"__libm_sinf_l9","22.8266","[Unknown]","__libm_sinf_l9","[Unknown]","0"
"fmi","22.3835","[Unknown]","fmi","DIASURFZ.f","0"
"expf","19.6624","[Unknown]","expf","[Unknown]","0"
"logf","19.2923","[Unknown]","logf","[Unknown]","0"
"tmelt","19.0807","[Unknown]","tmelt","TMELT.f","0"
"__libm_cosf_l9","18.8581","[Unknown]","__libm_cosf_l9","[Unknown]","0"
"__libm_atanf_l9","18.3539","[Unknown]","__libm_atanf_l9","[Unknown]","0"
"nc4_get_data_2d_real","17.0499","[Unknown]","nc4_get_data_2d_real","nc_io.F90","0"
"classi","16.7","[Unknown]","classi","CLASSI.f","0"
"run_rte_between_grid","15.917","[Unknown]","run_rte_between_grid","rte_module.f90","0"
"cgrow","15.6259","[Unknown]","cgrow","CGROW.f","0"
"tsprep","15.1439","[Unknown]","tsprep","TSPREP.f","0"
"fhi","14.9393","[Unknown]","fhi","DIASURFZ.f","0"
"gralb","14.8762","[Unknown]","gralb","GRALB.f","0"
"sninfl","13.4376","[Unknown]","sninfl","SNINFL.f","0"
"copy_field_1d_to_1d","13.4112","[Unknown]","copy_field_1d_to_1d","field_utilities.f90","0"
"__libm_powf_e7","12.1061","[Unknown]","__libm_powf_e7","[Unknown]","0"
"latflow","10.1858","[Unknown]","latflow","LATFLOW.f","0"
"pdmrof","10.1721","[Unknown]","pdmrof","PDMROF.f90","0"
"iceadd","9.91789","[Unknown]","iceadd","ICEADD.f","0"
"asinf","9.63344","[Unknown]","asinf","[Unknown]","0"
"output_variables_group_reset","9.35929","[Unknown]","output_variables_group_reset","output_variables.f90","0"
"output_variables_field_icount_average","8.20945","[Unknown]","output_variables_field_icount_average","output_variables.f90","0"
"for_cpstr","7.11964","[Unknown]","for_cpstr","[Unknown]","0"
"bflm_within_tile","5.98097","[Unknown]","bflm_within_tile","baseflow_module.f90","0"
"snoalba","5.35249","[Unknown]","snoalba","SNOALBA.f","0"
"__libc_pread64","5.00403","[Unknown]","__libc_pread64","pread64.c","0"
"for_trim","4.89011","[Unknown]","for_trim","[Unknown]","0"
"__intel_avx_rep_memcpy","4.66152","[Unknown]","__intel_avx_rep_memcpy","[Unknown]","0"
"_intel_fast_memcmp","4.45002","[Unknown]","_intel_fast_memcmp","[Unknown]","0"
"__libm_atan2f_l9","4.3691","[Unknown]","__libm_atan2f_l9","[Unknown]","0"
"__libm_atan2f_e7","3.55777","[Unknown]","__libm_atan2f_e7","[Unknown]","0"
"bflm_within_grid","3.48049","[Unknown]","bflm_within_grid","baseflow_module.f90","0"
"_intel_fast_memcpy","3.18106","[Unknown]","_intel_fast_memcpy","[Unknown]","0"
"sinf","2.57701","[Unknown]","sinf","[Unknown]","0"
"run_within_grid","2.54028","[Unknown]","run_within_grid","sa_mesh_run_within_grid.f90","0"
"H5SL_search","2.51216","[Unknown]","H5SL_search","[Unknown]","0"
"__powr4i4","2.12831","[Unknown]","__powr4i4","[Unknown]","0"
"atanf","1.7324","[Unknown]","atanf","[Unknown]","0"
"output_variables_group_update","1.59989","[Unknown]","output_variables_group_update","output_variables.f90","0"
"cosf","1.58583","[Unknown]","cosf","[Unknown]","0"
"run_save_basin_output","1.19988","[Unknown]","run_save_basin_output","save_basin_output.f90","0"
"func@0x2c1d50","0.800299","[Unknown]","func@0x2c1d50","[Unknown]","0"
"_intel_fast_memcpy","0.689989","[Unknown]","_intel_fast_memcpy","[Unknown]","0"
"__libc_write","0.682445","[Unknown]","__libc_write","write.c","0"
"nc4_find_dim_len","0.590338","[Unknown]","nc4_find_dim_len","[Unknown]","0"
"H5FL_reg_malloc","0.550251","[Unknown]","H5FL_reg_malloc","[Unknown]","0"
"atan2f","0.51277","[Unknown]","atan2f","[Unknown]","0"
"__intel_avx_rep_memset","0.500637","[Unknown]","__intel_avx_rep_memset","[Unknown]","0"
"assign_mapped_value_io_field_to_scalar","0.445196","[Unknown]","assign_mapped_value_io_field_to_scalar","field_utilities.f90","0"
"H5S_extent_copy_real","0.419128","[Unknown]","H5S_extent_copy_real","[Unknown]","0"
"__libm_fmodf_e7","0.373211","[Unknown]","__libm_fmodf_e7","[Unknown]","0"
"model_variable_assign_mapped_field_from_name","0.36002","[Unknown]","model_variable_assign_mapped_field_from_name","variable_maps.f90","0"
"for_alloc_allocatable","0.340059","[Unknown]","for_alloc_allocatable","[Unknown]","0"
"H5_hash_string","0.330248","[Unknown]","H5_hash_string","[Unknown]","0"
"H5D__get_space","0.320134","[Unknown]","H5D__get_space","[Unknown]","0"
"f_lanint_val","0.297628","[Unknown]","f_lanint_val","[Unknown]","0"
"netcdf_mp_nf90_get_var_2d_fourbytereal_","0.280081","[Unknown]","netcdf_mp_nf90_get_var_2d_fourbytereal_","[Unknown]","0"
"create_mapped_output_from_field","0.270013","[Unknown]","create_mapped_output_from_field","mesh_io.F90","0"
"nc4_open_var_grp2","0.250072","[Unknown]","nc4_open_var_grp2","[Unknown]","0"
"H5FL_reg_free","0.250071","[Unknown]","H5FL_reg_free","[Unknown]","0"
"uppercase","0.250025","[Unknown]","uppercase","stringmod.f90","0"
"runclass36_finalize","0.24","[Unknown]","runclass36_finalize","RUNCLASS36_config.f90","0"
"create_ranked_field_and_maps","0.230017","[Unknown]","create_ranked_field_and_maps","mesh_io.F90","0"
"NC4_get_vars","0.220122","[Unknown]","NC4_get_vars","[Unknown]","0"
"H5I_object_verify","0.210121","[Unknown]","H5I_object_verify","[Unknown]","0"
"H5FL_fac_malloc","0.210103","[Unknown]","H5FL_fac_malloc","[Unknown]","0"
"baseflow_wfqlz","0.210023","[Unknown]","baseflow_wfqlz","baseflow_wfqlz.f90","0"
"__libc_malloc","0.200079","[Unknown]","__libc_malloc","[Unknown]","0"
"nclistget","0.190077","[Unknown]","nclistget","[Unknown]","0"
"for_len_trim","0.190031","[Unknown]","for_len_trim","[Unknown]","0"
"H5SL_remove","0.180066","[Unknown]","H5SL_remove","[Unknown]","0"
"runclass36_init","0.170007","[Unknown]","runclass36_init","RUNCLASS36_config.f90","0"
"func@0x169a60","0.15007","[Unknown]","func@0x169a60","[Unknown]","0"
"H5D__chunk_lookup","0.150058","[Unknown]","H5D__chunk_lookup","[Unknown]","0"
"func@0xc8c2d","0.140088","[Unknown]","func@0xc8c2d","[Unknown]","0"
"__libm_expf_e7","0.139998","[Unknown]","__libm_expf_e7","[Unknown]","0"
"H5P_create_id","0.129996","[Unknown]","H5P_create_id","[Unknown]","0"
"H5P_close","0.122133","[Unknown]","H5P_close","[Unknown]","0"
"H5CX_pop","0.120051","[Unknown]","H5CX_pop","[Unknown]","0"
"H5CX_push","0.120044","[Unknown]","H5CX_push","[Unknown]","0"
"func@0x2a0370","0.110069","[Unknown]","func@0x2a0370","[Unknown]","0"
"H5FL_fac_free","0.110039","[Unknown]","H5FL_fac_free","[Unknown]","0"
"__errno_location","0.103065","[Unknown]","__errno_location","errno-loc.c","0"
"func@0x11040","0.101235","[Unknown]","func@0x11040","[Unknown]","0"
"H5SL_item","0.101235","[Unknown]","H5SL_item","[Unknown]","0"
"check_field_dimensions_2d","0.101056","[Unknown]","check_field_dimensions_2d","field_utilities.f90","0"
"H5FL_reg_calloc","0.100055","[Unknown]","H5FL_reg_calloc","[Unknown]","0"
"H5S_select_copy","0.100041","[Unknown]","H5S_select_copy","[Unknown]","0"
"nf_get_vara_real_","0.100038","[Unknown]","nf_get_vara_real_","[Unknown]","0"
"func@0x2e1f80","0.100022","[Unknown]","func@0x2e1f80","[Unknown]","0"
"func@0x29f442","0.0900378","[Unknown]","func@0x29f442","[Unknown]","0"
"func@0x2c4ec0","0.0900343","[Unknown]","func@0x2c4ec0","[Unknown]","0"
"H5T_patch_vlen_file","0.0900302","[Unknown]","H5T_patch_vlen_file","[Unknown]","0"
"func@0x2aee40","0.0900295","[Unknown]","func@0x2aee40","[Unknown]","0"
"H5T_cmp","0.0810309","[Unknown]","H5T_cmp","[Unknown]","0"
"H5E_clear_stack","0.0800274","[Unknown]","H5E_clear_stack","[Unknown]","0"
"H5FL_arr_free","0.080019","[Unknown]","H5FL_arr_free","[Unknown]","0"
"func@0xbd5f0","0.080017","[Unknown]","func@0xbd5f0","[Unknown]","0"
"func@0xb4f70","0.0800166","[Unknown]","func@0xb4f70","[Unknown]","0"
"for_dealloc_allocatable","0.0800081","[Unknown]","for_dealloc_allocatable","[Unknown]","0"
"read_parameters","0.0799997","[Unknown]","read_parameters","read_parameters.f90","0"
"for_check_mult_overflow64","0.0790076","[Unknown]","for_check_mult_overflow64","[Unknown]","0"
"cfree","0.0700679","[Unknown]","cfree","[Unknown]","0"
"scalable_free","0.0700433","[Unknown]","scalable_free","[Unknown]","0"
"H5S_select_shape_same","0.0700299","[Unknown]","H5S_select_shape_same","[Unknown]","0"
"_intel_fast_memset","0.0700271","[Unknown]","_intel_fast_memset","[Unknown]","0"
"H5S_extent_release","0.0700256","[Unknown]","H5S_extent_release","[Unknown]","0"
"H5I_register","0.0700236","[Unknown]","H5I_register","[Unknown]","0"
"func@0x2a7cd0","0.0700236","[Unknown]","func@0x2a7cd0","[Unknown]","0"
"H5SL_close","0.070018","[Unknown]","H5SL_close","[Unknown]","0"
"find_in_NCList","0.0700132","[Unknown]","find_in_NCList","[Unknown]","0"
"H5SL_next","0.061059","[Unknown]","H5SL_next","[Unknown]","0"
"H5Dget_space","0.0600153","[Unknown]","H5Dget_space","[Unknown]","0"
"H5S_hyper_intersect_block","0.0600148","[Unknown]","H5S_hyper_intersect_block","[Unknown]","0"
"H5FL_blk_free","0.0510449","[Unknown]","H5FL_blk_free","[Unknown]","0"
"H5SL_insert","0.0500232","[Unknown]","H5SL_insert","[Unknown]","0"
"H5S_select_hyperslab","0.0500227","[Unknown]","H5S_select_hyperslab","[Unknown]","0"
"H5Z_xform_noop","0.0500204","[Unknown]","H5Z_xform_noop","[Unknown]","0"
"assign_mapped_value_2d_to_real1d","0.0500189","[Unknown]","assign_mapped_value_2d_to_real1d","field_utilities.f90","0"
"H5I_dec_ref","0.0500168","[Unknown]","H5I_dec_ref","[Unknown]","0"
"func@0x295d80","0.050016","[Unknown]","func@0x295d80","[Unknown]","0"
"H5D__read","0.0500119","[Unknown]","H5D__read","[Unknown]","0"
"H5Sget_simple_extent_dims","0.0500088","[Unknown]","H5Sget_simple_extent_dims","[Unknown]","0"
"H5Dread","0.0500069","[Unknown]","H5Dread","[Unknown]","0"
"__tls_get_addr","0.0500024","[Unknown]","__tls_get_addr","[Unknown]","0"
"for__interp_fmt","0.0499992","[Unknown]","for__interp_fmt","[Unknown]","0"
"assign_variable_from_field","0.0499962","[Unknown]","assign_variable_from_field","mesh_io.F90","0"
"input_parameters_group_reset","0.0499867","[Unknown]","input_parameters_group_reset","input_parameters.f90","0"
"fmodf","0.0433276","[Unknown]","fmodf","[Unknown]","0"
"func@0x2b5890","0.0400202","[Unknown]","func@0x2b5890","[Unknown]","0"
"H5D__chunk_is_space_alloc","0.0400178","[Unknown]","H5D__chunk_is_space_alloc","[Unknown]","0"
"H5S_close","0.0400169","[Unknown]","H5S_close","[Unknown]","0"
"H5SL_first","0.0400161","[Unknown]","H5SL_first","[Unknown]","0"
"rml::internal::MemoryPool::putToLLOCache","0.040016","[Unknown]","rml::internal::MemoryPool::putToLLOCache(rml::internal::TLSData*, void*)","[Unknown]","0"
"H5Sget_simple_extent_type","0.0400137","[Unknown]","H5Sget_simple_extent_type","[Unknown]","0"
"func@0x4e750","0.040013","[Unknown]","func@0x4e750","[Unknown]","0"
"func@0x50930","0.0400115","[Unknown]","func@0x50930","[Unknown]","0"
"func@0x293350","0.0400108","[Unknown]","func@0x293350","[Unknown]","0"
"func@0x28f950","0.0400106","[Unknown]","func@0x28f950","[Unknown]","0"
"H5S_copy","0.0400103","[Unknown]","H5S_copy","[Unknown]","0"
"kmp_free","0.0400081","[Unknown]","kmp_free","[Unknown]","0"
