"Function Stack","CPU Time: Total","CPU Time: Self","Module","Function (Full)","Source File","Start Address"
"Total","20225.2","0","[Unknown]","[Unknown]","[Unknown]","[Unknown]"
" _start","20225.1","0","sa_mesh_1860me_intel20_nov10_symbols","_start","[Unknown]","0x40cb00"
"  __libc_start_main","20225.1","0","libc.so.6","__libc_start_main","[Unknown]","0x23d30"
"   main","20225.1","0","sa_mesh_1860me_intel20_nov10_symbols","main","[Unknown]","0x40cbe0"
"    runmesh","20225.1","0.0199998","sa_mesh_1860me_intel20_nov10_symbols","runmesh","MESH_driver.f90","0xb1e080"
"     run_within_tile","16669.9","0.0200079","sa_mesh_1860me_intel20_nov10_symbols","run_within_tile","sa_mesh_run_within_tile.f90","0xac384a"
"     read_input_forcing_frame","2449.37","0.00999885","sa_mesh_1860me_intel20_nov10_symbols","read_input_forcing_frame","input_forcing.f90","0x71614f"
"     run_within_grid","547.439","2.54028","sa_mesh_1860me_intel20_nov10_symbols","run_within_grid","sa_mesh_run_within_grid.f90","0xacbc37"
"     run_between_grid","545.823","0.0100005","sa_mesh_1860me_intel20_nov10_symbols","run_between_grid","sa_mesh_run_between_grid.f90","0xadf6bd"
"     output_variables_reset","9.35929","0","sa_mesh_1860me_intel20_nov10_symbols","output_variables_reset","output_variables.f90","0x6c43b4"
"     run_save_basin_output","1.22988","1.19988","sa_mesh_1860me_intel20_nov10_symbols","run_save_basin_output","save_basin_output.f90","0xaa17d0"
"     read_initial_inputs","0.66","0","sa_mesh_1860me_intel20_nov10_symbols","read_initial_inputs","read_initial_inputs.f90","0x9cacd8"
"     open_input_forcing_files","0.540002","0","sa_mesh_1860me_intel20_nov10_symbols","open_input_forcing_files","input_forcing.f90","0x70687b"
"     run_within_tile_finalize","0.24","0","sa_mesh_1860me_intel20_nov10_symbols","run_within_tile_finalize","sa_mesh_run_within_tile.f90","0xacbb99"
"     output_variables_activate_vnames","0.220008","0","sa_mesh_1860me_intel20_nov10_symbols","output_variables_activate_vnames","output_variables.f90","0x6bddf1"
"     resumerun_read","0.130007","0.0100304","sa_mesh_1860me_intel20_nov10_symbols","resumerun_read","resumerun_read.f90","0xb12ac4"
"     run_within_grid_init","0.0699903","0","sa_mesh_1860me_intel20_nov10_symbols","run_within_grid_init","sa_mesh_run_within_grid.f90","0xacbbfe"
"     init_fls","0.05","0","sa_mesh_1860me_intel20_nov10_symbols","init_fls","module_files.f90","0xa53602"
"     run_between_grid_init","0.02","0","sa_mesh_1860me_intel20_nov10_symbols","run_between_grid_init","sa_mesh_run_between_grid.f90","0xadbbda"
"     output_variables_update","0.019993","0","sa_mesh_1860me_intel20_nov10_symbols","output_variables_update","output_variables.f90","0x6f00b9"
"     run_save_basin_output_init","0.01","0","sa_mesh_1860me_intel20_nov10_symbols","run_save_basin_output_init","save_basin_output.f90","0xa9992a"
"     output_files_update","0.00999697","0.00999697","sa_mesh_1860me_intel20_nov10_symbols","output_files_update","output_files.f90","0xa99740"
"     counter_update","0.00999399","0","sa_mesh_1860me_intel20_nov10_symbols","counter_update","module_dates.f90","0x4164b3"
" aprep","0.0999904","0.0999904","sa_mesh_1860me_intel20_nov10_symbols","aprep","APREP.f","0x7a1800"
